Data,Set Size,Individual MSE,number of random models,Method,MSE
Communities_Data,11,"[0.2135, 0.023, 0.0229, 0.023, 0.027, 0.1973, 0.2101, 0.2154, 0.0227, 0.0224, 0.0285]",4,random_selection,0.023
Communities_Data,11,"[0.2135, 0.023, 0.0229, 0.023, 0.027, 0.1973, 0.2101, 0.2154, 0.0227, 0.0224, 0.0285]",4,sequential reconcile,0.022
Communities_Data,11,"[0.2027, 0.023, 0.0229, 0.023, 0.027, 0.204, 0.1997, 0.2158, 0.0227, 0.2042, 0.0285]",5,mean,0.048
Communities_Data,11,"[0.2027, 0.023, 0.0229, 0.023, 0.027, 0.204, 0.1997, 0.2158, 0.0227, 0.2042, 0.0285]",5,randomized,0.111
Communities_Data,11,"[0.2027, 0.023, 0.0229, 0.023, 0.027, 0.204, 0.1997, 0.2158, 0.0227, 0.2042, 0.0285]",5,random_selection,0.205
Communities_Data,11,"[0.2027, 0.023, 0.0229, 0.023, 0.027, 0.204, 0.1997, 0.2158, 0.0227, 0.2042, 0.0285]",5,sequential reconcile,0.023
Communities_Data,11,"[0.2142, 0.023, 0.0229, 0.2207, 0.027, 0.2013, 0.2059, 0.1823, 0.0227, 0.2025, 0.0285]",6,mean,0.058
Communities_Data,11,"[0.2142, 0.023, 0.0229, 0.2207, 0.027, 0.2013, 0.2059, 0.1823, 0.0227, 0.2025, 0.0285]",6,randomized,0.122
Communities_Data,11,"[0.2142, 0.023, 0.0229, 0.2207, 0.027, 0.2013, 0.2059, 0.1823, 0.0227, 0.2025, 0.0285]",6,random_selection,0.197
Communities_Data,11,"[0.2142, 0.023, 0.0229, 0.2207, 0.027, 0.2013, 0.2059, 0.1823, 0.0227, 0.2025, 0.0285]",6,sequential reconcile,0.023
Communities_Data,11,"[0.1939, 0.023, 0.0229, 0.2036, 0.027, 0.2134, 0.2012, 0.2155, 0.0227, 0.2083, 0.1966]",7,mean,0.07
Communities_Data,11,"[0.1939, 0.023, 0.0229, 0.2036, 0.027, 0.2134, 0.2012, 0.2155, 0.0227, 0.2083, 0.1966]",7,randomized,0.15
Communities_Data,11,"[0.1939, 0.023, 0.0229, 0.2036, 0.027, 0.2134, 0.2012, 0.2155, 0.0227, 0.2083, 0.1966]",7,random_selection,0.023
Communities_Data,11,"[0.1939, 0.023, 0.0229, 0.2036, 0.027, 0.2134, 0.2012, 0.2155, 0.0227, 0.2083, 0.1966]",7,sequential reconcile,0.04
Communities_Data,11,"[0.2165, 0.023, 0.1989, 0.194, 0.027, 0.2057, 0.1901, 0.1941, 0.0227, 0.2174, 0.2109]",8,mean,0.079
Communities_Data,11,"[0.2165, 0.023, 0.1989, 0.194, 0.027, 0.2057, 0.1901, 0.1941, 0.0227, 0.2174, 0.2109]",8,randomized,0.155
Communities_Data,11,"[0.2165, 0.023, 0.1989, 0.194, 0.027, 0.2057, 0.1901, 0.1941, 0.0227, 0.2174, 0.2109]",8,random_selection,0.221
Communities_Data,11,"[0.2165, 0.023, 0.1989, 0.194, 0.027, 0.2057, 0.1901, 0.1941, 0.0227, 0.2174, 0.2109]",8,sequential reconcile,0.035
Communities_Data,11,"[0.212, 0.023, 0.1892, 0.225, 0.2281, 0.2152, 0.1962, 0.1902, 0.0227, 0.2004, 0.2137]",9,mean,0.099
Communities_Data,11,"[0.212, 0.023, 0.1892, 0.225, 0.2281, 0.2152, 0.1962, 0.1902, 0.0227, 0.2004, 0.2137]",9,randomized,0.173
Communities_Data,11,"[0.212, 0.023, 0.1892, 0.225, 0.2281, 0.2152, 0.1962, 0.1902, 0.0227, 0.2004, 0.2137]",9,random_selection,0.212
Communities_Data,11,"[0.212, 0.023, 0.1892, 0.225, 0.2281, 0.2152, 0.1962, 0.1902, 0.0227, 0.2004, 0.2137]",9,sequential reconcile,0.023
Communities_Data,11,"[0.2098, 0.023, 0.1861, 0.2161, 0.2122, 0.2025, 0.1941, 0.2152, 0.224, 0.2222, 0.2098]",10,mean,0.111
Communities_Data,11,"[0.2098, 0.023, 0.1861, 0.2161, 0.2122, 0.2025, 0.1941, 0.2152, 0.224, 0.2222, 0.2098]",10,randomized,0.186
Communities_Data,11,"[0.2098, 0.023, 0.1861, 0.2161, 0.2122, 0.2025, 0.1941, 0.2152, 0.224, 0.2222, 0.2098]",10,random_selection,0.214
Communities_Data,11,"[0.2098, 0.023, 0.1861, 0.2161, 0.2122, 0.2025, 0.1941, 0.2152, 0.224, 0.2222, 0.2098]",10,sequential reconcile,0.038
Communities_Data,11,"[0.2137, 0.191, 0.2022, 0.2114, 0.2087, 0.2246, 0.2171, 0.2026, 0.1981, 0.2073, 0.199]",11,mean,0.13
Communities_Data,11,"[0.2137, 0.191, 0.2022, 0.2114, 0.2087, 0.2246, 0.2171, 0.2026, 0.1981, 0.2073, 0.199]",11,randomized,0.19
Communities_Data,11,"[0.2137, 0.191, 0.2022, 0.2114, 0.2087, 0.2246, 0.2171, 0.2026, 0.1981, 0.2073, 0.199]",11,random_selection,0.218
