Data,MSE for different groups,Method
Compas_Data,"[[0.22692057031740595, 0.22091619472537574, 0.20721575603507245, 0.4338343605405524, 0.21919556548572502], [0.21112408473895522, 0.21007999792152246, 0.20327767762558296, 0.3077242911973643, 0.20938571983520007], [0.2033484260814942, 0.19206871316977908, 0.19195524854696508, 0.4975301864679622, 0.20154530235368268], [0.20330779243314748, 0.19252935755764916, 0.19156261690015575, 0.4898847231367953, 0.2019033751064449], [0.2506481481481482, 0.24394366197183104, 0.23182795698924732, 0.053333333333333344, 0.23836477987421387], [0.27006172839506176, 0.2566510172143975, 0.24611708482676226, 0.037037037037037035, 0.27323549965059396], [0.2500117618997423, 0.2651808920462937, 0.22850277718501233, 0.6438229612832788, 0.22913504390320105], [0.2194714280374652, 0.270002498689361, 0.23652223464760333, 0.3658148282324107, 0.21482990421995074], [0.20519755841924942, 0.17909880725810537, 0.18696647684463158, 0.18879454127733877, 0.20264361023777558], [0.2471851262671333, 0.2467595307365304, 0.24715552503683264, 0.2486004764522652, 0.24690758206355595], [0.2321628425175925, 0.21498545419544857, 0.27302224324577096, 7.69342451012564e-84, 0.2564877499023735]]",original
Compas_Data,"[0.26093878761383393, 0.26634859463097094, 0.24073090098472658, 0.22378709777934355, 0.2366578536624134]",mode
Compas_Data,"[0.2324118484646086, 0.2160245777028014, 0.2116558391038994, 0.49408197590526415, 0.22309151202053806]",randomized
Compas_Data,"[0.21112408473895522, 0.21007999792152246, 0.20327767762558296, 0.3077242911973643, 0.20938571983520007]",random_selection
Compas_Data,"[0.2142150625188138, 0.19272097063559365, 0.2191280523855679, 0.2486004764522652, 0.21061132058175153]",reconcile
Adult_Data,"[[0.08652209964628212, 0.13908794574192168, 0.07346511172977195, 0.07430972541186809, 0.12913481855918554], [0.08425553495629094, 0.12586679963549427, 0.07799801124149887, 0.0726208058601126, 0.12758106056489618], [0.09143226479627664, 0.11679692048314497, 0.06467017209283227, 0.06994553377714302, 0.11760042204292218], [0.09272201321598622, 0.11680343944106832, 0.06499470560964674, 0.06979720631907849, 0.11721356603186316], [0.12750000000000003, 0.14154831820608652, 0.09611940298507464, 0.08125, 0.15980295566502464], [0.12037037037037036, 0.160151074726622, 0.0945273631840796, 0.08969907407407408, 0.18117131910235362], [0.13420485791230516, 0.13321239484888606, 0.08393924539342278, 0.0743677539133878, 0.13370674018086282], [0.07709724117515344, 0.11887499118989214, 0.08569653508144888, 0.07048964869529713, 0.11219098209689078], [0.23067163449959682, 0.22813363177826668, 0.21997547376210283, 0.22467739489673633, 0.2355578903522595]]",original
Adult_Data,"[0.11602084545068027, 0.14430474892838363, 0.08386967226045189, 0.08030437085939895, 0.13079820991112862]",mode
Adult_Data,"[0.10688998423906255, 0.14331964285074056, 0.10492144333852256, 0.09902159589369802, 0.14790476375029205]",randomized
Adult_Data,"[0.08425553495629094, 0.12586679963549427, 0.07799801124149887, 0.0726208058601126, 0.12758106056489618]",random_selection
Adult_Data,"[0.09350706437291352, 0.12447389460326447, 0.07189854623227289, 0.06821569948413725, 0.1238412589897639]",reconcile
Folk_Income_Data,"[[0.14305042382434224, 0.1055035462010854, 0.10625280464216635, 0.07969285714285715, 0.10977528684683373, 0.140402471636953, 0.037506250000000005, 0.17859512195121952], [0.14940393993783202, 0.1156617505544122, 0.10950707337318107, 0.09392863825841934, 0.11559708228548866, 0.14664843288953056, 0.0424949535417406, 0.18229194372597063], [0.1393477331949978, 0.1067601280170079, 0.10682094130493566, 0.07419520864796961, 0.11239027265176992, 0.134138116293533, 0.036026597597838605, 0.18295085810584938], [0.13942269149140044, 0.1058006401168588, 0.10702084357404615, 0.07493629967473503, 0.11263520685014347, 0.13418505056486932, 0.04060164148944112, 0.18295725457182874], [0.16991762560523174, 0.1569151670951157, 0.13562862669245648, 0.1685714285714286, 0.1397727272727273, 0.18184764991896274, 0.037500000000000006, 0.20292682926829272], [0.18708559531045857, 0.16566695229934308, 0.15237481194928004, 0.18253968253968253, 0.14928127428127427, 0.19701062488744822, 0.034722222222222224, 0.24932249322493227], [0.1523808141488113, 0.138809308745073, 0.12217290946519825, 0.08195224775808603, 0.12216040562317468, 0.15165237301135606, 0.038706513037801954, 0.254941411994769], [0.15183595572460407, 0.11338369211307753, 0.11364153689163602, 0.12425999236119019, 0.12164301077024735, 0.15629950205899373, 0.060347372122589095, 0.21005466935927475], [0.24265111252558663, 0.23865530692797185, 0.2385753200620604, 0.23972762044069898, 0.2392909569107373, 0.24263591518351654, 0.23584069329306873, 0.24432869088518785]]",original
Folk_Income_Data,"[0.15181601074670836, 0.12110951156812338, 0.11673464431549539, 0.07442857142857143, 0.11931433154865967, 0.1636205699621826, 0.028612500000000003, 0.16412926829268293]",mode
Folk_Income_Data,"[0.16340000743269018, 0.1419473938525148, 0.13899602587830784, 0.12987574465824003, 0.13463354127013966, 0.1721282138148726, 0.045818840826861, 0.19025194951812943]",randomized
Folk_Income_Data,"[0.13942269149140044, 0.1058006401168588, 0.10702084357404615, 0.07493629967473503, 0.11263520685014347, 0.13418505056486932, 0.04060164148944112, 0.18295725457182874]",random_selection
Folk_Income_Data,"[0.1452181007853942, 0.11056650480815004, 0.11270434844902931, 0.09435626102292768, 0.11611564361564361, 0.13801388638773837, 0.03885802469135802, 0.18214995483288168]",reconcile
German_Data,"[[0.16485, 0.19437500000000005, 0.13342897196261683, 0.12519333333333335], [0.14889317861061266, 0.20027187952506073, 0.1311989783668337, 0.10776070114067322], [0.18313141540522873, 0.21325170776752062, 0.13819727812148258, 0.0913197057790181], [0.19006518331849004, 0.20945680444866777, 0.13372097193806415, 0.08357840830454036], [0.24800000000000005, 0.21588235294117647, 0.15476635514018694, 0.13066666666666668], [0.2555555555555556, 0.2303921568627451, 0.16926272066458986, 0.13333333333333333], [0.12529921552154552, 0.18604637903194762, 0.13827595279101224, 0.10939629238570633], [0.24168168682162547, 0.24772658809980133, 0.24171166122414822, 0.23833325962729773], [0.0849199311491362, 0.19160778480091997, 0.14950208710723847, 0.10676479683965973]]",original
German_Data,"[0.14584999999999998, 0.21558088235294123, 0.14191495327102804, 0.10782000000000001]",mode
German_Data,"[0.1760751350593651, 0.1915164872418513, 0.1548538178733449, 0.1165164225500417]",randomized
German_Data,"[0.19006518331849004, 0.20945680444866777, 0.13372097193806415, 0.08357840830454036]",random_selection
German_Data,"[0.17432098765432102, 0.2062164124909223, 0.1460436137071651, 0.11697119341563786]",reconcile
Folk_Travel_Data,"[[0.20651877406071853, 0.21893845861649816, 0.20938399209486167, 0.2162471092077088, 0.21147282608695653, 0.23122580645161292, 0.22895999999999997, 0.16042000000000003, 0.0361], [0.2086248934992056, 0.2195912632656696, 0.21342612695924681, 0.217191028009162, 0.2129103936129941, 0.20351446406441942, 0.20267019442640227, 0.16150108870773608, 0.03845930140003971], [0.20564688510644066, 0.21551946456369941, 0.21046750111678805, 0.21741474694407287, 0.20747978292101332, 0.2010447686457925, 0.18885752780702347, 0.15418819036233145, 0.0008215370263429681], [0.20508212938941897, 0.2157128889996523, 0.21002538391152545, 0.21633115183647278, 0.2063533534180971, 0.20101178230589956, 0.1933497041558112, 0.15620080824229904, 0.0005840067055608886], [0.20849092826173415, 0.22324570348286196, 0.2117439003943268, 0.22357108647271276, 0.2132636249169345, 0.18581090928342212, 0.20212932720355242, 0.20063691120877078, 0.0]]",original
Folk_Travel_Data,"[0.20651877406071853, 0.21893845861649816, 0.20938399209486167, 0.2162471092077088, 0.21147282608695653, 0.23122580645161292, 0.22895999999999997, 0.16042000000000003, 0.0361]",mode
Folk_Travel_Data,"[0.20693438116920815, 0.21751893758222005, 0.21197167916761006, 0.21327704813018816, 0.20509581062548565, 0.20751761349456313, 0.20458662259402063, 0.1539452933693231, 0.03845930140003971]",randomized
Folk_Travel_Data,"[0.2086248934992056, 0.2195912632656696, 0.21342612695924681, 0.217191028009162, 0.2129103936129941, 0.20351446406441942, 0.20267019442640227, 0.16150108870773608, 0.03845930140003971]",random_selection
Folk_Travel_Data,"[0.20564688510644066, 0.21551946456369941, 0.21046750111678805, 0.21741474694407287, 0.20747978292101332, 0.2010447686457925, 0.18885752780702347, 0.15418819036233145, 0.0008215370263429681]",reconcile
Folk_Mobility_Data,"[[0.17857741721823397, 0.15605463953707846, 0.18298722455278404, 0.18478552195268538, 0.17275358431342908, 0.14680833333333332, 0.24985000000000002, 0.10203846153846154], [0.17585950236009512, 0.16198783610493475, 0.17466175069965312, 0.18881814375026706, 0.1749743885326607, 0.14992239622290418, 0.24499105047059425, 0.1384646409593215], [0.17542500142201373, 0.1641287857594932, 0.17302816471936297, 0.18780532471369238, 0.1828520480083693, 0.1634383945855992, 0.21076185548238127, 0.14654690120539865], [0.17542688164086367, 0.16413868930078623, 0.17179033390067872, 0.18735514891758373, 0.18361806035786996, 0.16097759522653565, 0.21639086957395945, 0.14208631880819464], [0.21282281695643682, 0.19527856468366384, 0.22151111111111116, 0.22850000000000004, 0.20640000000000003, 0.22666666666666668, 0.3333333333333334, 0.1323076923076923], [0.1960244900018187, 0.1749403637360567, 0.2123373309745272, 0.19150687665766733, 0.18258213081309715, 0.24055278642622926, 0.3156773540779049, 0.21228515567110418], [0.1908654355188481, 0.1820618659862623, 0.19241702573172215, 0.2112054434701171, 0.1919569521956784, 0.16109510415244035, 0.25586930788356627, 0.1293116168634574], [0.2464451405305718, 0.24613667057441832, 0.24696981161200837, 0.24722936413494612, 0.24717213843165425, 0.2468801009664716, 0.24683222484612222, 0.2452097930494464]]",original
Folk_Mobility_Data,"[0.1789567569872861, 0.15707296662655446, 0.1883583356638952, 0.18283593861935205, 0.17172597937515743, 0.14680833333333332, 0.24985000000000002, 0.10203846153846154]",mode
Folk_Mobility_Data,"[0.1962205788293538, 0.17930780576980035, 0.19476221739755634, 0.19792469748262623, 0.2034142536606634, 0.1399002049805802, 0.27606219040210034, 0.16508326298650536]",randomized
Folk_Mobility_Data,"[0.17542500142201373, 0.1641287857594932, 0.17302816471936297, 0.18780532471369238, 0.1828520480083693, 0.1634383945855992, 0.21076185548238127, 0.14654690120539865]",random_selection
Folk_Mobility_Data,"[0.17542688164086367, 0.16413868930078623, 0.17179033390067872, 0.18735514891758373, 0.18361806035786996, 0.16097759522653565, 0.21639086957395945, 0.14208631880819464]",reconcile
Compas_Data,"[[0.22659526080160441, 0.22667761206874062, 0.28897191297381725, 0.10923013341127094, 0.22265952319122484], [0.2124923276585476, 0.20541196695967903, 0.25957835741938534, 0.12194974536031139, 0.21546147137340152], [0.21003161369450227, 0.17246218158727766, 0.20881400950659146, 0.14643609332797988, 0.2042696117769873], [0.21069455958950226, 0.1739987753118423, 0.20928088660668376, 0.1443938937376566, 0.20305819253549134], [0.24237113402061858, 0.20059701492537316, 0.27439252336448605, 0.1377777777777778, 0.22572289156626504], [0.261454753722795, 0.25207296849087896, 0.31048805815160946, 0.1358024691358025, 0.24832663989290496], [0.24436595672642028, 0.2803093222816037, 0.3403260300541524, 0.12619352984468782, 0.2316829921795958], [0.24073920651933325, 0.26318137673444547, 0.3345105079387412, 0.1759148453659119, 0.22663146403675674], [0.2136952197769508, 0.1859834151746664, 0.20117327181577158, 0.19019949367984085, 0.20728080082689027], [0.24765243358105238, 0.2471021653702821, 0.24785482028359201, 0.24359997685357315, 0.24807041599984128]]",original
Compas_Data,"[0.24677661417415875, 0.2813836385782067, 0.34822067724013583, 0.12905860684676482, 0.23884353997576618]",mode
Compas_Data,"[0.23021258661326668, 0.20429932514807841, 0.28320219660757817, 0.16672584917601468, 0.225047615666259]",randomized
Compas_Data,"[0.24436595672642028, 0.2803093222816037, 0.3403260300541524, 0.12619352984468782, 0.2316829921795958]",random_selection
Compas_Data,"[0.23762377497772688, 0.21769670167680122, 0.2602515287873543, 0.17657064471879286, 0.22505429123903023]",reconcile
Adult_Data,"[[0.0671738410869231, 0.13820633731539247, 0.03634151779239652, 0.07179258754558768, 0.15253461206476046], [0.07206098035274867, 0.1273934093094004, 0.043222985431700424, 0.07555213256802364, 0.1437860792341029], [0.06757403397415979, 0.11792364017505842, 0.04140916238699501, 0.06955112860603922, 0.1394701510779988], [0.06710506576653284, 0.11768608721926051, 0.04045783942624471, 0.06935445738503447, 0.13986414768396038], [0.10149253731343284, 0.14470862470862472, 0.04064516129032259, 0.09346666666666667, 0.1922705314009662], [0.1144278606965174, 0.15864762018608172, 0.05913978494623656, 0.09388888888888891, 0.2281266774020397], [0.06799265927067415, 0.133916419547944, 0.06304274532927825, 0.07896784657418433, 0.17749780390317269], [0.07008266725830603, 0.11992400524519925, 0.025320282689706295, 0.07133897669819143, 0.14237718903798144], [0.2353214323612521, 0.23464275652646138, 0.22599007537305058, 0.23092033963400557, 0.2358982716241085]]",original
Adult_Data,"[0.08308092703150913, 0.14366315757652665, 0.03577813396971692, 0.08222860250661376, 0.17162876105366354]",mode
Adult_Data,"[0.10917551243716721, 0.14260118260652052, 0.05726796329180926, 0.09608551350719091, 0.15765347276524563]",randomized
Adult_Data,"[0.07008266725830603, 0.11992400524519925, 0.025320282689706295, 0.07133897669819143, 0.14237718903798144]",random_selection
Adult_Data,"[0.06710506576653284, 0.11768608721926051, 0.04045783942624471, 0.06935445738503447, 0.13986414768396038]",reconcile
Folk_Income_Data,"[[0.14655495558949702, 0.11897231121281464, 0.08806404923599322, 0.08135, 0.10882241058518505, 0.12737306392973857, 0.04366470588235294, 0.13581111111111108, 0.31005], [0.15019179701579577, 0.12565003162392088, 0.09277938199390408, 0.0903314772233817, 0.1125158660979176, 0.14325398048014654, 0.03974496312829123, 0.1540998489251347, 0.20542740606407475], [0.1414088423008974, 0.11956031449973822, 0.08556259541239436, 0.08070631119317219, 0.10797382505395868, 0.1345468329974501, 0.03266797544768668, 0.15457498232820205, 0.16543646071451454], [0.1414397129382206, 0.11839020199968503, 0.0851076922386926, 0.08203003013649907, 0.10801633634296517, 0.13490861422910297, 0.030755747367888102, 0.15418671984151702, 0.1553721304580859], [0.1744506048387097, 0.171441647597254, 0.11911714770797964, 0.135, 0.13479452054794522, 0.17573529411764707, 0.06117647058823531, 0.20088888888888892, 0.26], [0.1920012880824373, 0.19425375031782355, 0.1314846255423505, 0.19444444444444448, 0.14989934698286447, 0.19158496732026145, 0.03921568627450981, 0.20000000000000004, 0.1111111111111111], [0.1550426221626456, 0.13908330943462432, 0.10169602356130661, 0.05716766105218158, 0.12189425201700947, 0.1482246045839019, 0.041097456758199695, 0.16151705905517524, 0.506785679352588], [0.15326303862332485, 0.1286225407076064, 0.09087643137979515, 0.16978741330411967, 0.11738733417970147, 0.15093030154958778, 0.03825085655298414, 0.13405468753443867, 1.417469099469837e-05], [0.2426010579869884, 0.23845111705431557, 0.23842853197290148, 0.24098317422978177, 0.23915671164621924, 0.24248670311474108, 0.2359409379199907, 0.24131814647319885, 0.24798630605382305]]",original
Folk_Income_Data,"[0.15768578305645492, 0.13978090516145436, 0.09858981324278439, 0.07672499999999999, 0.11862036963352303, 0.13976663010620916, 0.04189999999999999, 0.17359111111111108, 0.31005]",mode
Folk_Income_Data,"[0.16684502591010814, 0.14943435522109483, 0.11343737765656046, 0.1269688093072308, 0.13297801043762564, 0.15839920324044185, 0.059256193391191585, 0.19465997104768512, 0.16618560400540672]",randomized
Folk_Income_Data,"[0.1550426221626456, 0.13908330943462432, 0.10169602356130661, 0.05716766105218158, 0.12189425201700947, 0.1482246045839019, 0.041097456758199695, 0.16151705905517524, 0.506785679352588]",random_selection
Folk_Income_Data,"[0.15364197530864201, 0.14626550272621974, 0.0968068917814249, 0.08487654320987655, 0.11853532129861488, 0.1464814814814815, 0.03157588961510531, 0.15725651577503427, 0.26]",reconcile
German_Data,"[[0.157768115942029, 0.14885384615384617, 0.15894736842105264, 0.2813875], [0.16571482687859082, 0.14514751322074293, 0.15205176730614706, 0.27540187367111035], [0.1844486137504843, 0.16043753081615986, 0.15390189320168698, 0.3028321676492579], [0.17959197657404094, 0.15469152547012138, 0.16001954017122705, 0.29402802976372117], [0.20173913043478262, 0.1630769230769231, 0.1810526315789474, 0.375], [0.22705314009661834, 0.17841880341880342, 0.21052631578947367, 0.33333333333333337], [0.13839869467919053, 0.13796046407670465, 0.15963902392840715, 0.32043683597296774], [0.24343362080926348, 0.24182176838690211, 0.24161597193885345, 0.2526091679584992], [0.14761571341876586, 0.19747317390293115, 0.16447119680834363, 0.253334675715095]]",original
German_Data,"[0.18681014492753625, 0.15772884615384614, 0.15086842105263157, 0.31555]",mode
German_Data,"[0.20055758853117892, 0.18405976541453503, 0.12843667561914227, 0.22994379762524148]",randomized
German_Data,"[0.20173913043478262, 0.1630769230769231, 0.1810526315789474, 0.375]",random_selection
German_Data,"[0.15226010699976125, 0.1380359158807655, 0.1406279337562201, 0.3270854923394991]",reconcile
Folk_Travel_Data,"[[0.20757528937859557, 0.21915497557997557, 0.18552727272727276, 0.2189257731958763, 0.21941657754010693, 0.21292951653944017, 0.22852307692307688, 0.16650833333333329, 0.14536666666666664], [0.20870225860438119, 0.2181681905714209, 0.19566449394789, 0.21865056080150586, 0.217559798233629, 0.21438434875449797, 0.2528167208058937, 0.1948474409561188, 0.12824880368032218], [0.20580792223664285, 0.21296804832529911, 0.19041805046474458, 0.21663779149730075, 0.21500827105014741, 0.20960449500014264, 0.25020882165962777, 0.18998386362789477, 0.11683400908224051], [0.20565660131176, 0.213055424045171, 0.19244008778875532, 0.21692271275691125, 0.21487848813624852, 0.20955610143219977, 0.2517805765452275, 0.193492161782206, 0.12090791383962325], [0.20923199164488326, 0.2255909370958934, 0.23097813788165406, 0.22929612615471753, 0.21838099671267128, 0.21352560557304953, 0.23384758988336557, 0.19495644553412705, 0.1638925231808569]]",original
Folk_Travel_Data,"[0.20757528937859557, 0.21915497557997557, 0.18552727272727276, 0.2189257731958763, 0.21941657754010693, 0.21292951653944017, 0.22852307692307688, 0.16650833333333329, 0.14536666666666664]",mode
Folk_Travel_Data,"[0.2084243842176601, 0.2172662777237544, 0.198171938429565, 0.21707485849314717, 0.21429729355604615, 0.21354170690612412, 0.2448687988463901, 0.16513979404748538, 0.1328811452558014]",randomized
Folk_Travel_Data,"[0.20565660131176, 0.213055424045171, 0.19244008778875532, 0.21692271275691125, 0.21487848813624852, 0.20955610143219977, 0.2517805765452275, 0.193492161782206, 0.12090791383962325]",random_selection
Folk_Travel_Data,"[0.20522670584980574, 0.21798918030884376, 0.20682969563858583, 0.22409976998521602, 0.21447249560464549, 0.20769985719806508, 0.23384758988336557, 0.20249810376795285, 0.1638925231808569]",reconcile
Folk_Mobility_Data,"[[0.15938037718099154, 0.1534451778985507, 0.1768599095432498, 0.19334241984376008, 0.18245400326273156, 0.15037857142857144, 0.1373111111111111, 0.19005], [0.1625702703046415, 0.15431419270753605, 0.17610201514698984, 0.2026485439663051, 0.1755437415760598, 0.15060521789205322, 0.11966714734484024, 0.22667523008743673], [0.16515326495257107, 0.15851258414107747, 0.17579100363818712, 0.2073603255776101, 0.177945527124993, 0.14690434144413583, 0.12461323875764786, 0.23076813454060482], [0.165394568567092, 0.1577722719044297, 0.17602551366916006, 0.20807539533958747, 0.17669062464537066, 0.14614847058200203, 0.12266799811262229, 0.23197871885366314], [0.21655813953488376, 0.17304347826086955, 0.211266835838376, 0.23832558139534885, 0.22899563318777297, 0.19142857142857145, 0.20444444444444448, 0.26], [0.1766865454710233, 0.1911855084896088, 0.19302924216971787, 0.24912647052463274, 0.2062327398903581, 0.21488544462856835, 0.14463644186495755, 0.3474701831332718], [0.1866259225593168, 0.16918713410717262, 0.19063271367484538, 0.22823906279410486, 0.19357529990301428, 0.15718128987831223, 0.12665878876215406, 0.1601451809215298], [0.24622489873213738, 0.24639142242710002, 0.24658265028818363, 0.24774607915675048, 0.24688930110757815, 0.24542998072462824, 0.24512935641303374, 0.24944899791273697], [0.22915449039173008, 0.2199157162065518, 0.24305121692981552, 0.2898995655601797, 0.2769478519502553, 0.2211885784365911, 0.26892511932150054, 0.22764492859118224]]",original
Folk_Mobility_Data,"[0.15920400508796828, 0.15490735181159418, 0.1772645097124215, 0.1966763216525456, 0.17981208186535166, 0.15037857142857144, 0.1373111111111111, 0.19005]",mode
Folk_Mobility_Data,"[0.18310149286624547, 0.16832210045424173, 0.1965709178719973, 0.22433022872395722, 0.21296344337693235, 0.1799147572502635, 0.14587436243288263, 0.2710045727173669]",randomized
Folk_Mobility_Data,"[0.22915449039173008, 0.2199157162065518, 0.24305121692981552, 0.2898995655601797, 0.2769478519502553, 0.2211885784365911, 0.26892511932150054, 0.22764492859118224]",random_selection
Folk_Mobility_Data,"[0.165394568567092, 0.1577722719044297, 0.17602551366916006, 0.20807539533958747, 0.17669062464537066, 0.14614847058200203, 0.12266799811262229, 0.23197871885366314]",reconcile
Compas_Data,"[[0.22216411919904594, 0.18795367728885407, 0.2552976124968506, 0.26254167230569814, 0.1702570507070035, 0.2257083884511263], [0.21054117832375907, 0.16984301715334396, 0.2979356015787037, 0.2504725669640606, 0.14711850120015257, 0.2161149995910732], [0.20543001610636943, 0.16472688690636828, 0.1286060893737779, 0.2314720321291882, 0.10314787494465444, 0.20886462522012023], [0.20568680169303571, 0.16508121863355227, 0.15314758598970263, 0.2310347011544219, 0.12218759235594578, 0.20875359693967677], [0.24176470588235296, 0.18628571428571428, 0.16000000000000003, 0.2733333333333334, 0.19000000000000003, 0.25362776025236594], [0.23235014698333215, 0.2151217694470305, 0.25, 0.3141533358337942, 0.3227777777777778, 0.23627696519787816], [0.22779280463410148, 0.18927405419329268, 0.25, 0.30575528599051166, 0.29237504764370914, 0.2289472071356081], [0.21070247323468175, 0.16030921583423435, 0.28759300215850253, 0.23477031480030003, 0.22592965179495977, 0.21115540717898837], [0.24851922528239953, 0.244935298601362, 0.25002499287962143, 0.2486361378242207, 0.24581287091599635, 0.24792413423990217], [0.22781867781069595, 0.1716024848111322, 1.0, 0.35183415179704625, 0.375, 0.24531337708696763]]",original
Compas_Data,"[0.2296099340172445, 0.20000183452369008, 0.25, 0.3044189771076778, 0.30326712260756356, 0.232146542109746]",mode
Compas_Data,"[0.22849002628306606, 0.1687887402958856, 0.16000000000000003, 0.3092951137872321, 0.2219091746777937, 0.22750846844754063]",randomized
Compas_Data,"[0.24851922528239953, 0.244935298601362, 0.25002499287962143, 0.2486361378242207, 0.24581287091599635, 0.24792413423990217]",random_selection
Compas_Data,"[0.2201164026249645, 0.15319237539778927, 0.5377777777777779, 0.2749118117081918, 0.2751851851851852, 0.22254188383266665]",reconcile
