Data,MSE for different groups,Method
Folk_Travel_Data,"[[0.20540949767270464, 0.21404998937752284, 0.21654738805970147, 0.21293062851782363, 0.21954670050761418, 0.21016451612903228, 0.2148384615384615, 0.2294, 0.0449], [0.20765209197916362, 0.21060520838499358, 0.21900794993673944, 0.21674508531021, 0.21630494372753242, 0.22111989237529664, 0.24905896505650407, 0.24034771629859583, 0.062213509212455415], [0.20425089073347594, 0.2071152351722363, 0.21685819240778476, 0.2153622234554405, 0.21249060558620617, 0.22819049402093275, 0.250724304968332, 0.24659477798130686, 0.03485779661429119], [0.20385244079832007, 0.20711971568529833, 0.21628750726926566, 0.2152765109525314, 0.21192847289442798, 0.22411972428501836, 0.250111668472392, 0.25081107804056735, 0.03337573899131411], [0.21074808506042206, 0.2251594994936827, 0.22275026314410698, 0.2247760173110432, 0.22122982108109807, 0.24398988964249768, 0.2772250597772795, 0.28826664957331816, 0.020252363434990695]]",original
Folk_Travel_Data,"[0.20540949767270464, 0.21404998937752284, 0.21654738805970147, 0.21293062851782363, 0.21954670050761418, 0.21016451612903228, 0.2148384615384615, 0.2294, 0.0449]",mode
Folk_Travel_Data,"[0.2070761644710236, 0.2122313160278832, 0.21886704555261582, 0.2121691472656884, 0.2163656382570784, 0.22891862685558056, 0.2675500886583911, 0.24717537495465608, 0.03314190654514089]",randomized
Folk_Travel_Data,"[0.20425089073347594, 0.2071152351722363, 0.21685819240778476, 0.2153622234554405, 0.21249060558620617, 0.22819049402093275, 0.250724304968332, 0.24659477798130686, 0.03485779661429119]",random_selection
Folk_Travel_Data,"[0.2049141987699426, 0.21476891863182493, 0.21697126865671643, 0.2133734052532833, 0.2196685279187817, 0.2188096774193548, 0.22499230769230766, 0.2294, 0.0449]",reconcile
Folk_Mobility_Data,"[[0.17449926899931772, 0.1606229520423264, 0.15804490902140672, 0.17892706093079075, 0.11738749999999999, 0.2036266601063764, 0.12396805555555557, 0.14331999999999998], [0.17167860837773863, 0.15894835465160131, 0.16213169810885292, 0.1776211180683729, 0.1864891326468984, 0.20211018054803076, 0.12228205129057053, 0.1342883756446825], [0.17078218125977718, 0.16179049099983991, 0.1684393224676228, 0.18160377987117599, 0.13256413946786844, 0.20351067155963723, 0.13003609363919802, 0.1285938608408594], [0.17090828433428643, 0.1622215285269377, 0.1675386989981735, 0.1808788564129924, 0.14083423512721846, 0.203072776581929, 0.13220217543758206, 0.12723222745922022], [0.21081858837254525, 0.2004251207729469, 0.19761467889908257, 0.20442553191489365, 0.30000000000000004, 0.23347280334728038, 0.14222222222222222, 0.144], [0.18842347213814625, 0.17951540723803727, 0.1849800595876781, 0.20550004003711628, 0.2675586582689336, 0.21977670766276824, 0.21106699775668913, 0.15691563200945663], [0.1849984449704768, 0.1736812099352592, 0.18085120282797376, 0.1942261213214498, 0.26934265472016355, 0.22858144996271487, 0.14903416369161518, 0.14076663569084064], [0.24636104082411112, 0.24601483024037088, 0.24680389849147602, 0.24717909021107942, 0.2479553324204317, 0.24747314049191085, 0.24577699444095305, 0.2450675713416385]]",original
Folk_Mobility_Data,"[0.1750840569841608, 0.16141970928870322, 0.15726509250764525, 0.1784211034839822, 0.11738749999999999, 0.2013287688929873, 0.12396805555555557, 0.14331999999999998]",mode
Folk_Mobility_Data,"[0.189281547483414, 0.18363365487566324, 0.17688547563301185, 0.2086986090528649, 0.18135064463408015, 0.21834287464722524, 0.16398329347022492, 0.10882044433641822]",randomized
Folk_Mobility_Data,"[0.17167860837773863, 0.15894835465160131, 0.16213169810885292, 0.1776211180683729, 0.1864891326468984, 0.20211018054803076, 0.12228205129057053, 0.1342883756446825]",random_selection
Folk_Mobility_Data,"[0.17167860837773863, 0.15894835465160131, 0.16213169810885292, 0.1776211180683729, 0.1864891326468984, 0.20211018054803076, 0.12228205129057053, 0.1342883756446825]",reconcile
